ID,Doza_snaga,Doza_jedinica_mjere
444774,0.5,mg
444775,0.5,mg
444777,0.5,mg
444778,0.5,mg
444893,10,mg
444903,20,mg
444904,10,mg
444905,5,mg
444907,1.5,mg
444910,3,mg
444912,6,mg
444935,125,mg
444939,250,mg
444989,3.5,mg
445014,60,mg
445015,60,mg
445039,600,mg
445042,600,mg
445219,0.5,mg
445227,1,mg
445353,500,mg
445360,1000,mg
445600,25,mg
445602,25,mg
445651,1500,mg
445652,750,mg
445657,1,g
445701,1,g
445804,10,mg
445805,5,mg
446114,400,mg
446187,10,mg
446191,20,mg
446196,100,mg
446198,50,mg
446200,25,mg
446384,100,mg
446386,25,mg
446388,200,mg
446434,5,mL
446435,5,mL
446456,5,mg
446584,250,mg
446626,5,mg
446691,20,mg
446721,4,mg
446722,4,mg
446724,5,mg
446725,5,mg
446726,180,mg
446727,90,mg
446728,30,mg
446738,25,mg
446740,100,mg
446741,200,mg
446756,25,mg
446757,100,mg
446758,200,mg
446837,25,mg
446839,100,mg
446850,15,mg
446879,1000,mg
446881,500,mg
446920,60,mg
446924,90,mg
446956,1.25,mg
446960,2.5,mg
446962,5,mg
446964,10,mg
446976,35,mg
446977,35,mg
446986,0.5,mg
446992,250,mg
446993,250,mg
446997,500,mg
446998,500,mg
447015,50,mg
447016,50,mg
447093,150,mg
447094,150,mg
447095,150,mg
447384,25,mg
447521,20,mg
447554,84,mg
447591,5,mg
447594,10,mg
447649,60,mg
447724,1,g
447739,2.5,mg
447756,5,mg
447831,1,mg
447833,0.25,mg
447932,200,mcg
447934,200,mcg
447939,400,mcg
447947,600,mcg
447949,800,mcg
447951,1000,mcg
447953,1200,mcg
447955,1400,mcg
447957,1600,mcg
448052,200,mg
448063,100,mg
448069,10,mg
448071,20,mg
448121,30,mg
448146,50,mg
448244,50,mg
448247,50,mg
448249,50,mg
448252,100,mg
448253,100,mg
448256,100,mg
448288,10,mg
448292,50,mg
448296,100,mg
448301,150,mg
448305,200,mg
